epoch,train_loss,pred_loss,var_loss,holdout_loss,latent_std,eff_rank,embed_dim,ema_momentum,lr,epoch_seconds
1,0.276427,0.231567,0.001794,0.190546,0.89264,5.901,64,0.999,0.00015,87.88
2,0.19327,0.192962,1.2e-05,0.206616,0.91411,8.63,64,0.999,0.0003,84.94
3,0.200553,0.200295,1e-05,0.203547,0.87888,10.223,64,0.99901,0.00029968,86.06
4,0.191453,0.191307,6e-06,0.183942,0.83037,12.419,64,0.99902,0.00029872,86.62
5,0.175346,0.175158,8e-06,0.177531,0.79264,14.829,64,0.99902,0.00029712,85.52
6,0.167987,0.167886,4e-06,0.159905,0.74854,15.685,64,0.99904,0.00029489,85.5
7,0.160518,0.160259,1e-05,0.158253,0.72638,17.351,64,0.99905,0.00029204,85.55
8,0.15551,0.15528,9e-06,0.156355,0.71178,17.736,64,0.99906,0.00028858,84.96
9,0.150982,0.150825,6e-06,0.145355,0.68262,18.446,64,0.99908,0.00028453,85.35
10,0.146869,0.146569,1.2e-05,0.149788,0.67805,18.383,64,0.9991,0.0002799,85.66
11,0.146445,0.146189,1e-05,0.147146,0.66806,18.042,64,0.99911,0.00027472,85.51
12,0.14382,0.143581,1e-05,0.144915,0.65569,18.759,64,0.99914,0.000269,85.33
13,0.141089,0.140944,6e-06,0.138009,0.63765,19.083,64,0.99916,0.00026278,85.6
14,0.140649,0.140336,1.3e-05,0.141449,0.64338,18.427,64,0.99918,0.00025607,85.44
15,0.136468,0.136208,1e-05,0.139705,0.63714,18.479,64,0.99921,0.0002489,85.83
16,0.137677,0.137458,9e-06,0.13925,0.63025,18.412,64,0.99923,0.00024132,85.79
17,0.137658,0.137437,9e-06,0.138867,0.62803,18.741,64,0.99926,0.00023334,85.74
18,0.137011,0.136831,7e-06,0.139502,0.62456,18.781,64,0.99929,0.000225,85.59
19,0.136802,0.136524,1.1e-05,0.138907,0.62431,18.634,64,0.99932,0.00021634,85.47
20,0.137799,0.137594,8e-06,0.138602,0.62419,18.418,64,0.99935,0.0002074,85.31
21,0.137747,0.137561,7e-06,0.140731,0.62037,18.031,64,0.99938,0.00019822,85.36
22,0.137176,0.136971,8e-06,0.137345,0.61722,18.333,64,0.99941,0.00018882,85.72
23,0.136682,0.136523,6e-06,0.13605,0.61236,18.058,64,0.99944,0.00017926,85.35
24,0.133839,0.133637,8e-06,0.135362,0.61031,17.802,64,0.99947,0.00016958,85.44
25,0.134036,0.133868,7e-06,0.135364,0.60949,17.644,64,0.9995,0.00015981,85.54
26,0.131731,0.131569,6e-06,0.133377,0.60465,17.836,64,0.99953,0.00015,86.0
27,0.131889,0.131743,6e-06,0.133362,0.6043,17.87,64,0.99956,0.00014019,85.99
28,0.130659,0.130502,6e-06,0.132679,0.60146,17.811,64,0.99959,0.00013042,85.68
29,0.130134,0.129991,6e-06,0.13115,0.59835,17.88,64,0.99962,0.00012074,85.48
30,0.129806,0.129633,7e-06,0.131314,0.59689,17.743,64,0.99965,0.00011118,85.46
31,0.128254,0.128123,5e-06,0.129624,0.59326,17.639,64,0.99968,0.00010179,85.84
32,0.127079,0.12696,5e-06,0.127717,0.59069,17.781,64,0.99971,9.26e-05,85.65
33,0.126196,0.126068,5e-06,0.128537,0.58793,17.56,64,0.99974,8.366e-05,85.76
34,0.125315,0.125201,5e-06,0.126225,0.58481,17.709,64,0.99977,7.5e-05,85.7
35,0.124207,0.124091,5e-06,0.124926,0.58212,17.48,64,0.99979,6.667e-05,85.75
36,0.122334,0.122246,3e-06,0.122809,0.57821,17.394,64,0.99982,5.869e-05,85.89
37,0.120936,0.120843,4e-06,0.121327,0.57434,17.162,64,0.99984,5.11e-05,85.98
38,0.119288,0.11922,3e-06,0.119768,0.57196,17.246,64,0.99986,4.393e-05,85.8
39,0.117767,0.117704,2e-06,0.11912,0.56949,17.185,64,0.99989,3.722e-05,85.82
40,0.116482,0.11642,2e-06,0.118168,0.566,17.448,64,0.9999,3.1e-05,85.59
41,0.114942,0.114881,2e-06,0.11584,0.56412,17.356,64,0.99992,2.528e-05,85.34
42,0.113582,0.113545,1e-06,0.114935,0.56141,17.499,64,0.99994,2.01e-05,85.84
43,0.112613,0.112578,1e-06,0.114352,0.56002,17.443,64,0.99995,1.547e-05,85.6
44,0.111321,0.111295,1e-06,0.111623,0.55775,17.449,64,0.99996,1.142e-05,85.93
45,0.110932,0.110908,1e-06,0.111725,0.55618,17.514,64,0.99998,7.96e-06,85.67
46,0.110119,0.110108,0.0,0.111452,0.55572,17.412,64,0.99998,5.11e-06,85.64
47,0.109634,0.109625,0.0,0.110447,0.55523,17.622,64,0.99999,2.88e-06,85.57
48,0.109216,0.10921,0.0,0.110765,0.55486,17.58,64,1.0,1.28e-06,85.75
49,0.109493,0.109484,0.0,0.11159,0.55474,17.496,64,1.0,3.2e-07,86.0
50,0.109456,0.109451,0.0,0.11087,0.55429,17.584,64,1.0,0.0,85.89
