epoch,train_loss,pred_loss,var_loss,holdout_loss,latent_std,eff_rank,embed_dim,ema_momentum,lr,epoch_seconds
1,0.253796,0.233844,0.000798,0.196476,0.93137,6.662,96,0.999,0.00015,92.27
2,0.207301,0.206971,1.3e-05,0.221246,0.91869,9.241,96,0.999,0.0003,95.26
3,0.214392,0.21419,8e-06,0.205931,0.86903,12.284,96,0.99901,0.00029968,96.97
4,0.195942,0.195665,1.1e-05,0.197663,0.83505,15.724,96,0.99902,0.00029872,94.76
5,0.186579,0.186426,6e-06,0.181369,0.79095,18.092,96,0.99902,0.00029712,93.38
6,0.174559,0.174291,1.1e-05,0.177495,0.76631,19.192,96,0.99904,0.00029489,93.76
7,0.164074,0.163795,1.1e-05,0.162285,0.73222,20.523,96,0.99905,0.00029204,91.21
8,0.153646,0.153386,1e-05,0.155181,0.70754,21.424,96,0.99906,0.00028858,92.71
9,0.149753,0.149507,1e-05,0.147637,0.68926,21.613,96,0.99908,0.00028453,92.47
10,0.149027,0.148706,1.3e-05,0.151706,0.67945,22.29,96,0.9991,0.0002799,90.94
11,0.14989,0.149615,1.1e-05,0.150181,0.6707,22.214,96,0.99911,0.00027472,92.49
12,0.145899,0.145651,1e-05,0.14857,0.65934,22.268,96,0.99914,0.000269,90.69
13,0.147705,0.147447,1e-05,0.149832,0.65611,21.763,96,0.99916,0.00026278,90.13
14,0.146753,0.146479,1.1e-05,0.150307,0.65148,22.121,96,0.99918,0.00025607,89.69
15,0.145831,0.145558,1.1e-05,0.147844,0.64432,23.431,96,0.99921,0.0002489,89.63
16,0.146399,0.146115,1.1e-05,0.147056,0.64104,23.428,96,0.99923,0.00024132,89.28
17,0.144434,0.144212,9e-06,0.145076,0.63791,23.228,96,0.99926,0.00023334,89.12
18,0.145868,0.145606,1e-05,0.149066,0.63669,24.661,96,0.99929,0.000225,89.18
19,0.145191,0.144974,9e-06,0.146689,0.63256,25.748,96,0.99932,0.00021634,89.16
20,0.144915,0.144692,9e-06,0.144251,0.63024,25.927,96,0.99935,0.0002074,89.87
21,0.143,0.142768,9e-06,0.14431,0.62677,24.919,96,0.99938,0.00019822,89.06
22,0.142856,0.142609,1e-05,0.143518,0.62616,25.703,96,0.99941,0.00018882,88.07
23,0.142928,0.142721,8e-06,0.142563,0.62338,25.859,96,0.99944,0.00017926,88.89
24,0.141134,0.140909,9e-06,0.141761,0.6214,26.701,96,0.99947,0.00016958,89.32
25,0.140448,0.140239,8e-06,0.141432,0.62052,26.345,96,0.9995,0.00015981,87.87
26,0.139131,0.138959,7e-06,0.140153,0.61736,26.12,96,0.99953,0.00015,89.18
27,0.138409,0.138232,7e-06,0.139101,0.61543,26.118,96,0.99956,0.00014019,88.94
28,0.137265,0.137075,8e-06,0.139103,0.61313,26.198,96,0.99959,0.00013042,88.73
29,0.136857,0.136661,8e-06,0.138754,0.6111,26.367,96,0.99962,0.00012074,89.15
30,0.136542,0.136408,5e-06,0.136446,0.60674,26.453,96,0.99965,0.00011118,88.96
31,0.134067,0.133905,6e-06,0.135513,0.6054,26.543,96,0.99968,0.00010179,89.32
32,0.133411,0.133252,6e-06,0.134356,0.60303,26.251,96,0.99971,9.26e-05,88.88
33,0.132373,0.132217,6e-06,0.134792,0.59926,26.594,96,0.99974,8.366e-05,89.09
34,0.131362,0.13124,5e-06,0.132108,0.59745,26.594,96,0.99977,7.5e-05,87.99
35,0.129971,0.129831,6e-06,0.131017,0.59528,26.534,96,0.99979,6.667e-05,89.11
36,0.127863,0.127741,5e-06,0.12858,0.59279,27.076,96,0.99982,5.869e-05,88.89
37,0.126798,0.126687,4e-06,0.127391,0.5893,26.749,96,0.99984,5.11e-05,89.0
38,0.125293,0.125191,4e-06,0.125456,0.58755,27.132,96,0.99986,4.393e-05,88.77
39,0.123398,0.123324,3e-06,0.124808,0.58474,26.305,96,0.99989,3.722e-05,87.94
40,0.12197,0.1219,3e-06,0.123391,0.58248,26.582,96,0.9999,3.1e-05,89.21
41,0.12011,0.12004,3e-06,0.120661,0.5794,26.496,96,0.99992,2.528e-05,89.09
42,0.11844,0.11839,2e-06,0.119529,0.57699,26.345,96,0.99994,2.01e-05,87.51
43,0.11702,0.116972,2e-06,0.118517,0.57549,26.306,96,0.99995,1.547e-05,89.04
44,0.115317,0.115299,1e-06,0.115248,0.57356,26.183,96,0.99996,1.142e-05,87.94
45,0.114538,0.114524,1e-06,0.115075,0.57147,26.709,96,0.99998,7.96e-06,89.14
46,0.113453,0.113445,0.0,0.114596,0.57018,26.331,96,0.99998,5.11e-06,88.83
47,0.112734,0.112725,0.0,0.11332,0.56938,26.262,96,0.99999,2.88e-06,88.8
48,0.112119,0.112114,0.0,0.113643,0.56894,26.601,96,1.0,1.28e-06,87.96
49,0.112342,0.112336,0.0,0.114466,0.56931,26.62,96,1.0,3.2e-07,89.2
50,0.11228,0.112277,0.0,0.113667,0.56909,26.281,96,1.0,0.0,89.05
