epoch,train_loss,val_loss,lr,best_val_loss,epoch_seconds,lr_group1,mix_basal,mix_bolus,mix_carbs,mix_jepa
1,0.0031516066238184114,0.0029584671976582216,0.00039891533528291814,0.0029584671976582216,6090.5,3.990139411662892e-05,0.2231,0.2494,0.2418,0.2858
2,0.0027056853055932297,,0.00039567322494529354,0.0029584671976582216,5691.37,3.9606656813208504e-05,0.2176,0.2393,0.262,0.2811
3,0.0026583200196845986,,0.00039030919022644043,0.0029584671976582216,5717.29,3.911901729331277e-05,0.2166,0.2326,0.2775,0.2733
4,0.002632242873447669,,0.0003828820006132349,0.0029584671976582216,5711.51,3.844381823756681e-05,0.2168,0.231,0.2874,0.2649
5,0.002610808993091663,0.0027927000465815966,0.0003734730299493189,0.0027927000465815966,6140.79,3.75884572681199e-05,0.2183,0.2303,0.2939,0.2575
6,0.0025911804626114793,,0.0003621853648862396,0.0027927000465815966,5689.0,3.656230589874906e-05,0.2211,0.2302,0.2981,0.2506
7,0.002573285321954719,,0.00034914267544452403,0.0027927000465815966,5689.08,3.53766068585931e-05,0.2245,0.2312,0.3011,0.2432
8,0.00255578202400421,,0.0003344878600590539,0.0027927000465815966,5690.17,3.404435091445945e-05,0.2276,0.2292,0.3029,0.2402
9,0.0025359512224277774,,0.00031838147995390964,0.0027927000465815966,5689.73,3.258013454126452e-05,0.2331,0.229,0.2997,0.2382
10,0.0025168277206238094,0.002793889256765471,0.00030099999999999994,0.0027927000465815966,6077.55,3.1e-05,0.2355,0.2308,0.2976,0.2362
11,0.0024975308044223516,,0.0002825338553290084,0.0027927000465815966,5690.83,2.932125957536441e-05,0.2387,0.2309,0.2948,0.2356
12,0.0024777459780724732,,0.00026318536488623953,0.0027927000465815966,5691.12,2.7562305898749058e-05,0.2421,0.2294,0.2919,0.2366
13,0.0024585251001139528,,0.00024316651478191627,0.0027927000465815966,5691.33,2.574241043471967e-05,0.2441,0.2279,0.2912,0.2368
14,0.0024382676591422434,,0.00022269663572699536,0.0027927000465815966,5692.15,2.3881512338817764e-05,0.2467,0.2281,0.2873,0.238
15,0.0024179834435393423,0.002952620921977497,0.000202,0.0027927000465815966,6079.84,2.2e-05,0.2468,0.2277,0.2862,0.2393
16,0.0023985874320543977,,0.0001813033642730046,0.0027927000465815966,5718.1,2.0118487661182235e-05,0.2468,0.2287,0.283,0.2414
17,0.0023792833390743214,,0.00016083348521808358,0.0027927000465815966,5715.74,1.8257589565280322e-05,0.2498,0.2277,0.2804,0.2421
18,0.0023618331077414193,,0.00014081463511376037,0.0027927000465815966,5708.34,1.643769410125094e-05,0.25,0.2263,0.2802,0.2435
19,0.002343436723411569,,0.00012146614467099155,0.0027927000465815966,5750.12,1.4678740424635594e-05,0.2514,0.2271,0.2768,0.2446
20,0.002328080261167152,0.003014762111396947,0.00012146614467099155,0.0027927000465815966,6232.19,1.4678740424635594e-05,0.2525,0.2259,0.276,0.2456
